epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5039,0,113.013,0,0,0,0,0,0,70.6204,0,4.287e-05,4.287e-05,4.287e-05
2,35.6991,0,111.042,0,0,0,0,0,0,70.6752,0,9.80494e-05,9.80494e-05,9.80494e-05
3,53.0927,0,108.105,0,0,0,0,0,0,70.4227,0,0.000150965,0.000150965,0.000150965
4,70.4847,0,104.196,0,0,0,0,0,0,70.2278,0,0.000201618,0.000201618,0.000201618
5,87.7255,0,100.261,0,0,0,0,0,0,70.2052,0,0.000250006,0.000250006,0.000250006
6,105.008,0,97.5796,0,0,0,0,0,0,69.9266,0,0.000296132,0.000296132,0.000296132
7,122.155,0,94.531,0,0,0,0,0,0,68.9914,0,0.000339993,0.000339993,0.000339993
8,139.468,0,91.329,0,0,0,0,0,0,66.6335,0,0.000381592,0.000381592,0.000381592
9,156.729,0,88.4737,0,0,0,0,0,0,63.5705,0,0.000420926,0.000420926,0.000420926
10,174.363,0,86.2008,0,0,0,0,0,0,61.4058,0,0.000457997,0.000457997,0.000457997
11,195.504,0,84.8571,0,0,0,0,0,0,56.5777,0,0.000492805,0.000492805,0.000492805
12,212.715,0,87.1845,0,0,0,0,0,0,54.9536,0,0.000525349,0.000525349,0.000525349
13,229.997,0,82.2139,0,0,0,0,0,0,51.0507,0,0.000555629,0.000555629,0.000555629
14,246.946,0,80.526,0,0,0,0,0,0,49.1315,0,0.000583646,0.000583646,0.000583646
15,263.915,0,79.7365,0,0,0,0,0,0,48.4726,0,0.0006094,0.0006094,0.0006094
16,281.253,0,78.3405,0,0,0,0,0,0,44.3818,0,0.00063289,0.00063289,0.00063289
17,298.207,0,76.7397,0,0,0,0,0,0,42.8582,0,0.000654116,0.000654116,0.000654116
18,315.166,0,75.8273,0,0,0,0,0,0,41.5325,0,0.000673079,0.000673079,0.000673079
19,332.109,0,74.9007,0,0,0,0,0,0,41.3629,0,0.000689778,0.000689778,0.000689778
20,349.282,0,73.431,0,0,0,0,0,0,41.8088,0,0.000704214,0.000704214,0.000704214
21,366.727,0,72.4774,0,0,0,0,0,0,42.2396,0,0.000716386,0.000716386,0.000716386
22,383.425,0,71.4502,0,0,0,0,0,0,41.916,0,0.000726295,0.000726295,0.000726295
23,400.294,0,70.7116,0,0,0,0,0,0,41.5961,0,0.00073394,0.00073394,0.00073394
24,417.374,0,69.6835,0,0,0,0,0,0,41.2876,0,0.000739322,0.000739322,0.000739322
25,434.73,0,68.9441,0,0,0,0,0,0,41.1018,0,0.00074244,0.00074244,0.00074244
26,451.528,0,70.4274,0,0,0,0,0,0,42.606,0,0.000721645,0.000721645,0.000721645
27,468.46,0,67.8621,0,0,0,0,0,0,43.9623,0,0.000693351,0.000693351,0.000693351
28,485.36,0,67.2352,0,0,0,0,0,0,40.2325,0,0.000665057,0.000665057,0.000665057
29,502.23,0,66.6586,0,0,0,0,0,0,39.6074,0,0.000636762,0.000636762,0.000636762
30,519.57,0,66.1627,0,0,0,0,0,0,39.8856,0,0.000608468,0.000608468,0.000608468
31,536.531,0,65.3444,0,0,0,0,0,0,40.5092,0,0.000580174,0.000580174,0.000580174
32,553.904,0,64.7025,0,0,0,0,0,0,41.1165,0,0.00055188,0.00055188,0.00055188
33,570.978,0,64.0918,0,0,0,0,0,0,41.5441,0,0.000523586,0.000523586,0.000523586
34,587.477,0,63.4792,0,0,0,0,0,0,41.3941,0,0.000495291,0.000495291,0.000495291
35,604.558,0,63.0651,0,0,0,0,0,0,41.3518,0,0.000466997,0.000466997,0.000466997
36,621.477,0,62.5177,0,0,0,0,0,0,41.365,0,0.000438703,0.000438703,0.000438703
37,638.369,0,61.9228,0,0,0,0,0,0,43.0762,0,0.000410409,0.000410409,0.000410409
38,654.95,0,61.7841,0,0,0,0,0,0,42.8891,0,0.000382115,0.000382115,0.000382115
39,671.664,0,61.0476,0,0,0,0,0,0,41.6557,0,0.00035382,0.00035382,0.00035382
40,688.351,0,60.745,0,0,0,0,0,0,40.7577,0,0.000325526,0.000325526,0.000325526
41,705.019,0,60.4185,0,0,0,0,0,0,40.6244,0,0.000297232,0.000297232,0.000297232
42,722.135,0,60.301,0,0,0,0,0,0,43.562,0,0.000268938,0.000268938,0.000268938
43,739.001,0,59.7826,0,0,0,0,0,0,54.5376,0,0.000240644,0.000240644,0.000240644
44,755.96,0,59.5531,0,0,0,0,0,0,69.8299,0,0.000212349,0.000212349,0.000212349
45,772.88,0,59.3682,0,0,0,0,0,0,80.2217,0,0.000184055,0.000184055,0.000184055
46,789.686,0,59.2395,0,0,0,0,0,0,66.4985,0,0.000155761,0.000155761,0.000155761
47,806.502,0,59.1263,0,0,0,0,0,0,53.027,0,0.000127467,0.000127467,0.000127467
48,822.898,0,59.0288,0,0,0,0,0,0,42.3652,0,9.91726e-05,9.91726e-05,9.91726e-05
49,839.804,0,58.8776,0,0,0,0,0,0,40.4218,0,7.08784e-05,7.08784e-05,7.08784e-05
50,857.111,0,58.7642,0,0,0,0,0,0,39.8877,0,4.25842e-05,4.25842e-05,4.25842e-05
